timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1748179358558,4093,Login Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Profile API Load Test 1-20,text,false,,2741,0,50,50,http://localhost:8080/api/auth/signin,0,0,4093
1748179358658,4086,Login Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Profile API Load Test 1-21,text,false,,2741,0,50,50,http://localhost:8080/api/auth/signin,0,0,4086
1748179358758,4062,Login Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Profile API Load Test 1-22,text,false,,2741,0,50,50,http://localhost:8080/api/auth/signin,0,0,4062
1748179358860,4064,Login Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Profile API Load Test 1-23,text,false,,2741,0,50,50,http://localhost:8080/api/auth/signin,0,0,4064
1748179358958,4100,Login Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Profile API Load Test 1-24,text,false,,2741,0,50,50,http://localhost:8080/api/auth/signin,0,0,4100
1748179359059,4089,Login Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Profile API Load Test 1-25,text,false,,2741,0,50,50,http://localhost:8080/api/auth/signin,0,0,4089
1748179359160,4094,Login Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Profile API Load Test 1-26,text,false,,2741,0,50,50,http://localhost:8080/api/auth/signin,0,0,4094
1748179359258,4077,Login Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Profile API Load Test 1-27,text,false,,2741,0,50,50,http://localhost:8080/api/auth/signin,0,0,4077
1748179359359,4084,Login Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Profile API Load Test 1-28,text,false,,2741,0,50,50,http://localhost:8080/api/auth/signin,0,0,4083
1748179359458,4093,Login Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Profile API Load Test 1-29,text,false,,2741,0,50,50,http://localhost:8080/api/auth/signin,0,0,4093
1748179359559,4084,Login Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Profile API Load Test 1-30,text,false,,2741,0,50,50,http://localhost:8080/api/auth/signin,0,0,4084
1748179359658,4064,Login Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Profile API Load Test 1-31,text,false,,2741,0,50,50,http://localhost:8080/api/auth/signin,0,0,4064
1748179359758,4092,Login Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Profile API Load Test 1-32,text,false,,2741,0,50,50,http://localhost:8080/api/auth/signin,0,0,4092
1748179359858,4069,Login Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Profile API Load Test 1-33,text,false,,2741,0,50,50,http://localhost:8080/api/auth/signin,0,0,4069
1748179359958,4094,Login Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Profile API Load Test 1-34,text,false,,2741,0,50,50,http://localhost:8080/api/auth/signin,0,0,4094
1748179360058,4100,Login Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Profile API Load Test 1-35,text,false,,2741,0,50,50,http://localhost:8080/api/auth/signin,0,0,4100
1748179360158,4078,Login Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Profile API Load Test 1-36,text,false,,2741,0,50,50,http://localhost:8080/api/auth/signin,0,0,4078
1748179360258,4077,Login Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Profile API Load Test 1-37,text,false,,2741,0,50,50,http://localhost:8080/api/auth/signin,0,0,4077
1748179360357,4056,Login Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Profile API Load Test 1-38,text,false,,2741,0,50,50,http://localhost:8080/api/auth/signin,0,0,4056
1748179360458,4092,Login Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Profile API Load Test 1-39,text,false,,2741,0,50,50,http://localhost:8080/api/auth/signin,0,0,4092
1748179360557,4084,Login Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Profile API Load Test 1-40,text,false,,2741,0,50,50,http://localhost:8080/api/auth/signin,0,0,4084
1748179360658,4107,Login Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Profile API Load Test 1-41,text,false,,2741,0,50,50,http://localhost:8080/api/auth/signin,0,0,4107
1748179360771,4065,Login Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Profile API Load Test 1-42,text,false,,2741,0,50,50,http://localhost:8080/api/auth/signin,0,0,4065
1748179360858,4070,Login Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Profile API Load Test 1-43,text,false,,2741,0,50,50,http://localhost:8080/api/auth/signin,0,0,4070
